,2020_1,2021_1,2022_1,2023_1,2024_1,2025_1,2026_1,2027_1,2028_1,2029_1,2020_2,2021_2,2022_2,2023_2,2024_2,2025_2,2026_2,2027_2,2028_2,2029_2,2020_3,2021_3,2022_3,2023_3,2024_3,2025_3,2026_3,2027_3,2028_3,2029_3,2020_4,2021_4,2022_4,2023_4,2024_4,2025_4,2026_4,2027_4,2028_4,2029_4,2020_5,2021_5,2022_5,2023_5,2024_5,2025_5,2026_5,2027_5,2028_5,2029_5
Demo+Gender,0.498123123123123,0.513513513513514,0.5,0.511636636636637,0.513513513513513,0.486486486486486,0.497747747747748,0.459459459459459,0.486486486486487,0.501876876876877,0.472972972972973,0.513888888888889,0.5,0.486486486486486,0.488738738738739,0.527027027027027,0.472972972972973,0.486486486486486,0.525900900900901,0.486486486486487,0.472972972972973,0.513513513513514,0.497747747747748,0.513513513513513,0.5,0.497747747747748,0.513513513513513,0.529279279279279,0.5,0.472972972972973,0.529654654654655,0.486486486486486,0.516141141141141,0.486486486486487,0.539039039039039,0.472972972972973,0.513513513513513,0.5,0.486486486486487,0.484234234234234,0.527027027027027,0.472972972972973,0.486486486486487,0.501501501501502,0.459459459459459,0.516141141141141,0.501876876876877,0.525525525525526,0.501876876876877,0.554054054054054
Demo+Age,0.491366366366366,0.589116143170197,0.494156318480643,0.550675675675676,0.465668371073777,0.487582176771366,0.581831831831832,0.566837107377648,0.502921840759679,0.578078078078078,0.587655222790358,0.562885802469136,0.480277574872169,0.544192841490139,0.558183183183183,0.560993425858291,0.560262965668371,0.527027027027027,0.571696696696697,0.545288531775018,0.525566106647188,0.496347699050402,0.54954954954955,0.544558071585099,0.441563184806428,0.479354354354354,0.544192841490139,0.577702702702703,0.570854638422206,0.551497443389335,0.611861861861862,0.543462381300219,0.581081081081081,0.550036523009496,0.552927927927928,0.607012417823229,0.476990504017531,0.554054054054054,0.552227903579255,0.53978978978979,0.498904309715121,0.538714390065741,0.575967859751644,0.5503003003003,0.535427319211103,0.461711711711712,0.474474474474474,0.489114114114114,0.459834834834835,0.468224981738495
Serum+ANG_Ser,0.493993993993994,0.528853177501826,0.501095690284879,0.490990990990991,0.574872169466764,0.519357195032871,0.533783783783784,0.514974433893353,0.540540540540541,0.586336336336336,0.505478451424397,0.530864197530864,0.504017531044558,0.534696859021183,0.545795795795796,0.574141709276844,0.554419284149014,0.581446311176041,0.542042042042042,0.547114682249817,0.502556610664719,0.527392257121987,0.551051051051051,0.528853177501826,0.494521548575603,0.537537537537538,0.534696859021183,0.487987987987988,0.514243973703433,0.537618699780862,0.481981981981982,0.531775018261505,0.462462462462462,0.576333089846603,0.527777777777778,0.502556610664719,0.5427319211103,0.47991234477721,0.516435354273192,0.487987987987988,0.573411249086925,0.544192841490139,0.514243973703433,0.515765765765766,0.501095690284879,0.540540540540541,0.491741741741742,0.503003003003003,0.484984984984985,0.494521548575603
Serum+BDNF_Ser,0.494744744744745,0.536157779401023,0.493060628195763,0.478228228228228,0.514974433893353,0.507669831994156,0.534534534534535,0.571219868517166,0.491599707815924,0.542792792792793,0.47918188458729,0.503086419753086,0.525931336742148,0.536888239590942,0.507507507507508,0.489408327246165,0.528853177501826,0.522279035792549,0.562312312312312,0.501826150474799,0.496712929145362,0.497443389335281,0.473723723723724,0.525931336742148,0.539079620160701,0.512012012012012,0.523009495982469,0.529279279279279,0.515704894083272,0.56245434623813,0.530780780780781,0.481373265157049,0.498498498498499,0.517896274653031,0.495495495495496,0.575602629656684,0.523739956172389,0.47918188458729,0.558802045288532,0.534534534534535,0.524470416362308,0.477720964207451,0.56172388604821,0.563063063063063,0.540540540540541,0.530780780780781,0.524774774774775,0.511261261261261,0.555555555555556,0.582176771365961
Serum+CXCL16_Ser,0.436936936936937,0.555149744338934,0.430241051862673,0.584084084084084,0.480642804967129,0.547845142439737,0.446696696696697,0.440467494521549,0.463111760409058,0.493993993993994,0.556610664718773,0.429012345679012,0.557341124908692,0.582176771365961,0.471471471471472,0.552958363769175,0.571219868517166,0.553688823959094,0.551051051051051,0.596785975164354,0.628926223520818,0.5836376917458,0.538288288288288,0.459459459459459,0.578524470416362,0.471471471471472,0.449233016800584,0.443693693693694,0.568298027757487,0.593864134404675,0.457957957957958,0.557341124908692,0.570570570570571,0.472607742878013,0.56981981981982,0.570489408327246,0.598977355734112,0.571950328707086,0.628195763330899,0.560810810810811,0.477720964207451,0.544192841490139,0.586559532505479,0.581831831831832,0.613586559532506,0.612612612612613,0.471471471471471,0.571321321321321,0.476726726726727,0.443389335281227
Serum+ENA-78_Ser,0.566066066066066,0.510591672753835,0.531044558071585,0.512012012012012,0.56172388604821,0.567567567567568,0.515765765765766,0.489408327246165,0.544192841490139,0.590840840840841,0.495982468955442,0.527777777777778,0.559532505478451,0.487216946676406,0.542792792792793,0.554419284149014,0.571219868517166,0.524470416362308,0.588588588588589,0.529583637691746,0.537618699780862,0.54200146092038,0.529279279279279,0.572680788897005,0.501826150474799,0.543543543543544,0.524470416362308,0.562312312312312,0.536157779401023,0.536888239590942,0.548798798798799,0.50036523009496,0.581831831831832,0.60409057706355,0.548048048048048,0.49963476990504,0.517896274653031,0.522279035792549,0.493791088385683,0.587837837837838,0.512783053323594,0.58290723155588,0.529583637691746,0.487987987987988,0.516435354273192,0.498498498498499,0.566066066066066,0.566066066066066,0.502252252252252,0.504747991234478
Serum+MMP3_Ser,0.51951951951952,0.519357195032871,0.544192841490139,0.495495495495496,0.539810080350621,0.488677867056245,0.534534534534535,0.558802045288532,0.519357195032871,0.525525525525526,0.487947406866326,0.510802469135803,0.530314097881666,0.489408327246165,0.522522522522523,0.488677867056245,0.525200876552228,0.52154857560263,0.5503003003003,0.466033601168736,0.504017531044558,0.576333089846603,0.484984984984985,0.533966398831264,0.498904309715121,0.524774774774775,0.488677867056245,0.596096096096096,0.568298027757487,0.581446311176041,0.493243243243243,0.492330168005844,0.511261261261261,0.516435354273192,0.46996996996997,0.503287070854638,0.577794010226443,0.516435354273192,0.549306062819576,0.536786786786787,0.497443389335281,0.507669831994156,0.504747991234478,0.502252252252252,0.527392257121987,0.566066066066066,0.488738738738739,0.542042042042042,0.513513513513513,0.573411249086925
Serum+MMP7_Ser,0.554054054054054,0.516435354273192,0.54127100073046,0.491741741741742,0.575602629656684,0.514974433893353,0.583333333333333,0.476990504017531,0.631848064280497,0.564564564564565,0.50036523009496,0.574845679012346,0.536888239590942,0.537618699780862,0.493243243243243,0.52008765522279,0.511322132943755,0.573411249086925,0.515015015015015,0.574141709276844,0.553688823959094,0.524470416362308,0.510510510510511,0.547845142439737,0.54200146092038,0.578828828828829,0.514974433893353,0.500750750750751,0.504017531044558,0.537618699780862,0.495495495495495,0.523739956172389,0.513513513513513,0.56245434623813,0.494744744744745,0.519357195032871,0.527392257121987,0.487216946676406,0.532505478451424,0.556306306306306,0.558802045288532,0.525200876552228,0.555149744338933,0.521021021021021,0.548575602629657,0.53003003003003,0.522522522522523,0.577327327327327,0.514264264264264,0.513513513513513
Serum+OPG_Ser,0.516516516516517,0.488677867056245,0.490869247626004,0.486486486486487,0.544192841490139,0.517165814463112,0.532282282282282,0.522279035792549,0.569028487947407,0.538288288288288,0.505478451424397,0.535493827160494,0.52008765522279,0.514243973703433,0.515765765765766,0.558802045288532,0.536157779401023,0.497443389335281,0.472972972972973,0.495252008765522,0.468224981738495,0.50036523009496,0.559309309309309,0.546384222059898,0.498904309715121,0.505255255255255,0.505478451424397,0.524024024024024,0.498904309715121,0.473338203067933,0.521771771771772,0.510591672753835,0.511261261261261,0.510591672753835,0.523273273273273,0.537618699780862,0.488677867056245,0.511322132943755,0.534696859021183,0.530780780780781,0.566106647187728,0.517896274653031,0.530314097881666,0.532282282282282,0.525931336742148,0.56981981981982,0.554804804804805,0.542792792792793,0.545045045045045,0.516435354273192
Serum+PAI-1_Ser,0.528528528528529,0.573411249086925,0.577794010226443,0.52027027027027,0.571950328707086,0.487216946676406,0.46021021021021,0.515704894083272,0.439737034331629,0.575075075075075,0.485756026296567,0.526234567901235,0.533966398831264,0.47991234477721,0.503003003003003,0.535427319211103,0.578524470416362,0.468224981738495,0.575825825825826,0.468224981738495,0.558802045288532,0.555149744338934,0.483483483483484,0.442658875091308,0.47845142439737,0.589339339339339,0.487947406866326,0.501501501501502,0.468955441928415,0.508400292184076,0.487987987987988,0.544923301680058,0.481231231231231,0.601899196493791,0.477477477477477,0.505478451424397,0.527392257121987,0.550766983199416,0.517165814463112,0.559309309309309,0.462381300219138,0.495252008765522,0.492330168005844,0.504504504504504,0.539810080350621,0.476726726726727,0.496246246246246,0.591591591591592,0.498498498498499,0.507669831994156
