,ACC,PREC1,PREC0,RECALL1,RECALL0,F1SCORE,AUC
XGBoost_1000,0.7283,0.7234,0.7333,0.7391,0.7174,0.7312,0.7519
XGBoost_1001,0.7065,0.6939,0.7209,0.7391,0.6739,0.7158,0.7647
XGBoost_1002,0.7283,0.7234,0.7333,0.7391,0.7174,0.7312,0.8077
XGBoost_1003,0.7609,0.7857,0.74,0.7174,0.8043,0.75,0.8436
XGBoost_1004,0.7391,0.7292,0.75,0.7609,0.7174,0.7447,0.8133
XGBoost_1005,0.6957,0.6957,0.6957,0.6957,0.6957,0.6957,0.768
XGBoost_1006,0.7283,0.7442,0.7143,0.6957,0.7609,0.7191,0.7519
XGBoost_1007,0.7065,0.7111,0.7021,0.6957,0.7174,0.7033,0.8039
XGBoost_1008,0.6848,0.6977,0.6735,0.6522,0.7174,0.6742,0.7259
XGBoost_1009,0.663,0.6667,0.6596,0.6522,0.6739,0.6593,0.7694
LightGBM_1000,0.7391,0.7391,0.7391,0.7391,0.7391,0.7391,0.8242
LightGBM_1001,0.7174,0.7174,0.7174,0.7174,0.7174,0.7174,0.7854
LightGBM_1002,0.7283,0.7143,0.7442,0.7609,0.6957,0.7368,0.7727
LightGBM_1003,0.7935,0.8,0.7872,0.7826,0.8043,0.7912,0.8459
LightGBM_1004,0.7826,0.7708,0.7955,0.8043,0.7609,0.7872,0.8379
LightGBM_1005,0.7717,0.766,0.7778,0.7826,0.7609,0.7742,0.8469
LightGBM_1006,0.7174,0.7381,0.7,0.6739,0.7609,0.7045,0.7661
LightGBM_1007,0.7283,0.7561,0.7059,0.6739,0.7826,0.7126,0.8039
LightGBM_1008,0.663,0.6667,0.6596,0.6522,0.6739,0.6593,0.7271
LightGBM_1009,0.7391,0.7292,0.75,0.7609,0.7174,0.7447,0.8093
mean,0.7261,0.7284,0.725,0.7217,0.7304,0.7246,0.791
FinalModel,0.7609,0.7609,0.7609,0.7609,0.7609,0.7609,0.8313
