,2020_1,2020_2,2020_3,2020_4,2020_5,2021_1,2021_2,2021_3,2021_4,2021_5,2022_1,2022_2,2022_3,2022_4,2022_5,2023_1,2023_2,2023_3,2023_4,2023_5,2024_1,2024_2,2024_3,2024_4,2024_5,2025_1,2025_2,2025_3,2025_4,2025_5,2026_1,2026_2,2026_3,2026_4,2026_5,2027_1,2027_2,2027_3,2027_4,2027_5,2028_1,2028_2,2028_3,2028_4,2028_5,2029_1,2029_2,2029_3,2029_4,2029_5
Demo+Gender,0.5112612612612613,0.539039039039039,0.5135135135135135,0.5135135135135136,0.5270270270270271,0.5018768768768769,0.5022522522522522,0.5000000000000001,0.5270270270270271,0.5270270270270271,0.5022522522522522,0.5018768768768769,0.5135135135135135,0.5135135135135136,0.5,0.5431681681681682,0.5018768768768769,0.5135135135135135,0.5405405405405406,0.5135135135135136,0.5112612612612613,0.515015015015015,0.5135135135135136,0.5000000000000001,0.5135135135135135,0.5116366366366367,0.5153903903903904,0.5405405405405406,0.5,0.5135135135135136,0.5018768768768769,0.5157657657657657,0.5000000000000001,0.5135135135135136,0.5000000000000001,0.5251501501501502,0.5018768768768769,0.5,0.5270270270270271,0.5000000000000001,0.5153903903903904,0.5112612612612613,0.5,0.5000000000000001,0.5270270270270271,0.5427927927927928,0.5112612612612613,0.5135135135135136,0.5405405405405406,0.5000000000000001
Demo+Age,0.573948948948949,0.5784534534534533,0.5215485756026296,0.5558802045288532,0.5036523009495983,0.5142642642642643,0.6403903903903905,0.5054784514243974,0.5153396639883127,0.5580715850986122,0.5364114114114115,0.5345345345345345,0.5164353542731922,0.5832724616508401,0.5642804967129292,0.5705705705705706,0.5259009009009009,0.550036523009496,0.5109569028487948,0.5788897005113222,0.5900900900900901,0.5097597597597597,0.535427319211103,0.5555149744338934,0.5522279035792549,0.5972222222222221,0.5521771771771772,0.5262965668371075,0.539444850255661,0.5153396639883125,0.5003753753753755,0.5874624624624625,0.5734112490869249,0.5631848064280497,0.5131482834185537,0.5716966966966968,0.6073573573573574,0.5547845142439738,0.5266617969320673,0.5262965668371073,0.5412912912912913,0.521021021021021,0.5321402483564646,0.5953250547845143,0.5467494521548576,0.5904654654654655,0.5578078078078078,0.554419284149014,0.5153396639883127,0.5230094959824689
Serum+ANG_Ser,0.5232732732732732,0.5277777777777777,0.5200876552227903,0.504017531044558,0.5200876552227903,0.5540540540540541,0.5615615615615616,0.5485756026296567,0.5054784514243973,0.5368882395909422,0.5210210210210211,0.5225225225225225,0.5558802045288532,0.5113221329437545,0.5295836376917458,0.5157657657657658,0.5412912912912913,0.5522279035792549,0.512783053323594,0.5631848064280496,0.524024024024024,0.5255255255255256,0.5222790357925493,0.5215485756026297,0.5536888239590942,0.5232732732732732,0.5105105105105106,0.5471146822498174,0.5127830533235939,0.5507669831994156,0.5518018018018018,0.5060060060060061,0.5178962746530313,0.5434623813002192,0.5098612125639154,0.5285285285285286,0.5097597597597597,0.5383491599707816,0.5602629656683711,0.5171658144631117,0.5412912912912913,0.512012012012012,0.5208181154127101,0.5449233016800584,0.5252008765522279,0.5427927927927927,0.5232732732732733,0.535427319211103,0.5252008765522278,0.5273922571219869
Serum+BDNF_Ser,0.5105105105105104,0.5270270270270271,0.5171658144631117,0.5507669831994156,0.5522279035792549,0.5803303303303303,0.5105105105105106,0.5193571950328707,0.5222790357925493,0.533235938641344,0.5292792792792793,0.5375375375375375,0.5135135135135135,0.5529583637691746,0.5230094959824689,0.5127627627627627,0.5495495495495496,0.5076698319941564,0.5113221329437545,0.5127830533235939,0.5683183183183184,0.5015015015015015,0.5281227173119065,0.5420014609203798,0.5054784514243974,0.5060060060060061,0.5307807807807808,0.5149744338933528,0.5303140978816655,0.5069393718042366,0.5277777777777777,0.5090090090090091,0.508400292184076,0.5266617969320673,0.5514974433893353,0.5090090090090089,0.5465465465465466,0.5120525931336742,0.5127830533235939,0.5222790357925493,0.5578078078078078,0.5022522522522523,0.5164353542731921,0.5047479912344778,0.504017531044558,0.521021021021021,0.5105105105105106,0.5142439737034332,0.5069393718042368,0.5529583637691746
Serum+CXCL16_Ser,0.5533033033033034,0.5608108108108107,0.5704894083272462,0.5500365230094959,0.5829072315558802,0.617117117117117,0.5345345345345346,0.5346968590211832,0.5997078159240321,0.5281227173119065,0.5818318318318317,0.5668168168168168,0.5434623813002191,0.537618699780862,0.579254930606282,0.5638138138138137,0.5900900900900901,0.5529583637691746,0.5661066471877283,0.5420014609203798,0.5427927927927928,0.6291291291291292,0.5332359386413441,0.5580715850986122,0.552227903579255,0.557057057057057,0.56006006006006,0.5463842220598978,0.6289262235208182,0.5230094959824689,0.5600600600600601,0.5878378378378379,0.5113221329437546,0.5536888239590942,0.6084733382030679,0.6118618618618618,0.5533033033033032,0.5602629656683711,0.5456537618699782,0.5463842220598978,0.5472972972972974,0.5518018018018018,0.5829072315558802,0.5843681519357196,0.5493060628195764,0.5202702702702703,0.5773273273273274,0.5682980277574873,0.5595325054784515,0.5858290723155588
Serum+ENA-78_Ser,0.5187687687687689,0.5818318318318318,0.5463842220598978,0.5244704163623083,0.5054784514243973,0.5082582582582582,0.5765765765765765,0.5230094959824689,0.5062089116143169,0.581446311176041,0.5825825825825827,0.5352852852852852,0.5551497443389335,0.5054784514243973,0.5631848064280497,0.575075075075075,0.5367867867867868,0.5237399561723887,0.5690284879474068,0.5449233016800584,0.5097597597597597,0.557057057057057,0.5551497443389335,0.5281227173119065,0.5383491599707816,0.5247747747747749,0.5397897897897898,0.5595325054784515,0.5091307523739956,0.5339663988312637,0.5202702702702703,0.5135135135135136,0.550036523009496,0.56245434623813,0.5193571950328707,0.545045045045045,0.5165165165165165,0.537618699780862,0.5682980277574872,0.5032870708546384,0.5232732732732732,0.5367867867867867,0.533235938641344,0.5785244704163623,0.535427319211103,0.5345345345345346,0.5322822822822822,0.5412710007304602,0.5339663988312637,0.5237399561723886
Serum+MMP3_Ser,0.5202702702702702,0.5210210210210211,0.5536888239590942,0.5142439737034332,0.5456537618699782,0.5157657657657657,0.5307807807807807,0.5427319211102994,0.506208911614317,0.5054784514243973,0.5487987987987988,0.5315315315315315,0.5390796201607013,0.5054784514243974,0.5281227173119065,0.5555555555555556,0.5090090090090089,0.5047479912344777,0.5376186997808621,0.5420014609203798,0.5337837837837838,0.5277777777777777,0.5171658144631117,0.5120525931336741,0.5010956902848795,0.5135135135135134,0.5180180180180181,0.5741417092768445,0.5215485756026297,0.5434623813002191,0.5503003003003003,0.5097597597597598,0.504017531044558,0.5076698319941564,0.5872899926953982,0.5397897897897899,0.5217717717717718,0.5076698319941564,0.5032870708546384,0.5069393718042368,0.5015015015015015,0.5045045045045045,0.5405405405405406,0.5149744338933528,0.5230094959824689,0.5435435435435435,0.5022522522522523,0.5295836376917458,0.5230094959824689,0.508400292184076
Serum+MMP7_Ser,0.5518018018018018,0.5187687687687688,0.5193571950328708,0.574872169466764,0.5405405405405406,0.5608108108108107,0.5157657657657657,0.5135135135135135,0.550036523009496,0.5200876552227903,0.515015015015015,0.5112612612612613,0.6048210372534697,0.5047479912344778,0.5376186997808619,0.5435435435435436,0.5322822822822824,0.5463842220598978,0.5675675675675675,0.5427319211102994,0.5563063063063063,0.524024024024024,0.5208181154127101,0.564645726807889,0.5025566106647188,0.5217717717717718,0.5157657657657657,0.5420014609203798,0.5303140978816655,0.5485756026296567,0.5720720720720721,0.5225225225225225,0.5215485756026297,0.5332359386413441,0.5135135135135135,0.5435435435435436,0.5112612612612613,0.5200876552227902,0.5872899926953982,0.5252008765522278,0.5465465465465466,0.5578078078078078,0.5149744338933528,0.518626734842951,0.5259313367421476,0.5292792792792793,0.5067567567567568,0.5595325054784515,0.5098612125639153,0.5566106647187729
Serum+OPG_Ser,0.5337837837837838,0.5322822822822824,0.525200876552228,0.5303140978816654,0.5244704163623083,0.5503003003003003,0.5292792792792793,0.5010956902848794,0.5193571950328708,0.5544192841490139,0.5187687687687688,0.545045045045045,0.5113221329437546,0.5807158509861212,0.5091307523739956,0.5405405405405406,0.5195195195195195,0.5149744338933528,0.533235938641344,0.5113221329437545,0.5247747747747747,0.5442942942942943,0.5719503287070855,0.52081811541271,0.535427319211103,0.5,0.5075075075075075,0.5142439737034332,0.5091307523739956,0.5346968590211834,0.5142642642642643,0.5015015015015015,0.5259313367421475,0.5164353542731921,0.504017531044558,0.5135135135135135,0.5172672672672673,0.5098612125639153,0.5588020452885317,0.5252008765522278,0.5037537537537538,0.5397897897897899,0.5003652300949599,0.5047479912344777,0.518626734842951,0.5262762762762763,0.5345345345345345,0.5222790357925493,0.5054784514243974,0.5317750182615049
Serum+PAI-1_Ser,0.5097597597597598,0.5555555555555556,0.539810080350621,0.5325054784514244,0.5222790357925493,0.5578078078078078,0.581081081081081,0.5339663988312637,0.5149744338933528,0.5763330898466034,0.5142642642642643,0.5788288288288288,0.5588020452885318,0.5186267348429511,0.5200876552227904,0.5345345345345345,0.5262762762762763,0.5420014609203798,0.579254930606282,0.5259313367421475,0.5352852852852854,0.5180180180180181,0.5456537618699782,0.5091307523739956,0.547845142439737,0.5555555555555556,0.5255255255255256,0.5471146822498174,0.531044558071585,0.547845142439737,0.5548048048048048,0.5232732732732733,0.5390796201607012,0.5580715850986121,0.5215485756026297,0.5487987987987988,0.5067567567567568,0.5266617969320673,0.5361577794010226,0.5456537618699782,0.5157657657657657,0.5127627627627628,0.5361577794010226,0.547845142439737,0.5719503287070854,0.5195195195195195,0.6096096096096095,0.5171658144631117,0.5244704163623082,0.5193571950328706
